listing_id,city,district,listing_name,property_type,listing_type,bedrooms,baths,guests,adr_usd,occupancy,ttm_revenue,avg_stay,rating,reviews,registered,source
630113879188525065,Ho Chi Minh City,District 3,Flash Sale Today Luxury 4BR Villa |Summer Trip,villa,Entire condo,4,3.0,8,338.4,0.666,83254.0,3.2,4.83,95,False,sourced-airroi
1169209010428267531,Ho Chi Minh City,District 3,Summer sale 4BR Villa Private Pool | Washer + Dry,villa,Entire rental unit,4,3.0,8,384.7,0.592,76219.0,3.9,4.69,13,False,sourced-airroi
934852588808869787,Ho Chi Minh City,District 7,Private Pool 4BR 5Bath Sky Duplex • Lakeview Park,villa,Entire home,4,5.0,8,227.5,0.813,60818.0,2.7,4.89,121,False,sourced-airroi
1471637250551235509,Da Nang,,Stunning 4BR Villa; Large Pool | Sauna & Elevator,villa,Entire villa,4,4.0,8,362.2,0.414,59509.0,4.1,4.83,35,False,sourced-airroi
1448979773035948801,Ho Chi Minh City,,SaigonCharming Luxury Penthouse by Ray/4BR/5*,villa,Entire home,4,4.0,8,322.1,0.55,54990.0,4.3,5.0,7,False,sourced-airroi
1138340268520886158,Da Nang,Sơn Trà District,Palm villa 4br- My Khe beach - Private pool,villa,Entire home,4,4.0,8,214.1,0.702,53645.0,3.2,4.72,43,False,sourced-airroi
1382346425700909256,Ho Chi Minh City,,Lovely 4BR Penthouse/Perfect for Groups/600m2/.,villa,Entire serviced apartment,4,3.0,10,290.2,0.526,53466.0,2.9,4.93,27,False,sourced-airroi
39998003,Da Nang,Ngũ Hành Sơn District,Seclude Tropical villa w/ Lagoon pool; Spa & beach,villa,Entire villa,3,3.0,6,301.7,0.509,51957.0,6.0,4.88,50,False,sourced-airroi
1389625252141565963,Da Nang,,BrandNew 4BDR Villa Private Pool 850m to the Beach,villa,Entire villa,4,4.0,8,229.5,0.598,50446.0,3.2,5.0,28,False,sourced-airroi
1355424753469322019,Da Nang,,May Bliss 4BR Pool Jacuzzi Walk to My Khe beach,villa,Entire home,4,4.0,8,151.3,0.847,48167.0,3.8,4.88,34,False,sourced-airroi
